# slug	repository	path	requested_ref	adapter	smoke	local_safe	requires_authority	pin	resolution	smoke_standing
o11y-bench	https://github.com/grafana/o11y-bench.git	vendor/gyms/o11y-bench	HEAD	NATIVE_COMMAND	none	true	false	867100cb314cf12dee039c3ef5b2534ccfe56919	PINNED	NOT_RUN
osworld	https://github.com/xlang-ai/OSWorld.git	vendor/gyms/osworld	HEAD	CUBE	none	false	false	091f5ef1d5544bc74953c77875d5feb5bed30108	PINNED	NOT_RUN
qqr	https://github.com/Alibaba-NLP/qqr.git	vendor/gyms/qqr	HEAD	NATIVE_COMMAND	none	true	false	d5c5bafb86bdc2cf471d0e2bef4cb2e645daf3f8	PINNED	NOT_RUN
r2e-gym	https://github.com/R2E-Gym/R2E-Gym.git	vendor/gyms/r2e-gym	HEAD	NATIVE_COMMAND	none	true	false	0d94c4eb9431cd195c55a7ea3abd54006c9a1735	PINNED	NOT_RUN
rcaeval	https://github.com/phamquiluan/RCAEval.git	vendor/gyms/rcaeval	HEAD	NATIVE_COMMAND	none	true	false	4695aa69f4f1f57b9094ca04ff235908b73a8e24	PINNED	NOT_RUN
sadservers	https://github.com/SadServers/sadservers.git	vendor/gyms/sadservers	HEAD	NATIVE_COMMAND	none	false	false	64a06f8531528e9c08911c96ff809f8dc41f86c2	PINNED	NOT_RUN
scuba	https://github.com/SalesforceAIResearch/SCUBA.git	vendor/gyms/scuba	HEAD	NATIVE_COMMAND	none	true	false	b988d167004d7ea207332eff8d55b0691d8cadf9	PINNED	NOT_RUN
sec-bench	https://github.com/SEC-bench/SEC-bench.git	vendor/gyms/sec-bench	HEAD	NATIVE_COMMAND	none	true	false	31eb43485a3de47da260be0f978528b1f2314415	PINNED	NOT_RUN
sre-bench	https://github.com/agentkube/SRE-bench.git	vendor/gyms/sre-bench	HEAD	KUBERNETES	none	false	false	a85eecdbd09e7ab04ff9bd5b00ecd3e9bc4464c1	PINNED	NOT_RUN
sregym	https://github.com/SREGym/SREGym.git	vendor/gyms/sregym	HEAD	KUBERNETES	none	false	false	ba07faf1a322f9b6d4a279643bb796aa2f36f64b	PINNED	NOT_RUN
st-webagentbench	https://github.com/segev-shlomov/ST-WebAgentBench.git	vendor/gyms/st-webagentbench	HEAD	BROWSERGYM	none	false	false	67f56dd7df9eca1646c9e49407b087e950aa1e77	PINNED	NOT_RUN
swe-bench	https://github.com/SWE-bench/SWE-bench.git	vendor/gyms/swe-bench	HEAD	HARBOR	none	true	false	f7bbbb2ccdf479001d6467c9e34af59e44a840f9	PINNED	NOT_RUN
tau2-bench	https://github.com/sierra-research/tau2-bench.git	vendor/gyms/tau2-bench	HEAD	NATIVE_COMMAND	none	true	false	668d3bcd135c02aa3438f987ef45735b7c163ee3	PINNED	NOT_RUN
terminal-bench	https://github.com/harbor-framework/terminal-bench-2.git	vendor/gyms/terminal-bench	HEAD	HARBOR	none	true	false	2fd12b88aafdd04a52c298e3940bcb189f9766d6	PINNED	NOT_RUN
terminal-bench-pro	https://github.com/alibaba/terminal-bench-pro.git	vendor/gyms/terminal-bench-pro	HEAD	HARBOR	none	true	false	874af409da6aafebccbf3bc5bb41a2fa4d78784d	PINNED	NOT_RUN
terragoat	https://github.com/bridgecrewio/terragoat.git	vendor/gyms/terragoat	HEAD	TERRAFORM	none	true	false	729f8da62c6a85ce4af5ad3d123de97776d954c4	PINNED	NOT_RUN
the-agent-company	https://github.com/TheAgentCompany/TheAgentCompany.git	vendor/gyms/the-agent-company	HEAD	NATIVE_COMMAND	none	false	false	98b68ef82a47690c316f42fddb05baafaab56851	PINNED	NOT_RUN
toolsandbox	https://github.com/apple/ToolSandbox.git	vendor/gyms/toolsandbox	HEAD	NATIVE_COMMAND	none	true	false	165848b9a78cead7ca7fe7c89c688b58e6501219	PINNED	NOT_RUN
tua-bench	https://github.com/facebookresearch/TUA-Bench.git	vendor/gyms/tua-bench	HEAD	NATIVE_COMMAND	none	true	false	3497fd320abcafaf4797424192c891a593fd7964	PINNED	NOT_RUN
webarena	https://github.com/web-arena-x/webarena.git	vendor/gyms/webarena	HEAD	BROWSERGYM	none	false	false	dce04686a56253aefba7b18a4fa0937cf1dc987b	PINNED	NOT_RUN
wonderbread	https://github.com/HazyResearch/wonderbread.git	vendor/gyms/wonderbread	HEAD	NATIVE_COMMAND	none	true	false	ed052c67aeada04167cdfe92ff8de454aa94627a	PINNED	NOT_RUN
workarena	https://github.com/ServiceNow/WorkArena.git	vendor/gyms/workarena	HEAD	BROWSERGYM	none	false	false	a772230a94cf1caf4166b8ead3983f3b3786455b	PINNED	NOT_RUN
